PlaceName,Administration Type,State Name,State Codename,Population,Town Class
Kharaghoda,CT,GUJARAT,GUJ,10924,IV
Kheda,M,GUJARAT,GUJ,24136,III
Khedbrahma,M,GUJARAT,GUJ,25556,III
Kheralu,M,GUJARAT,GUJ,20141,III
Kodinar,M,GUJARAT,GUJ,32610,III
Kosamba,CT,GUJARAT,GUJ,13543,IV
Kutiyana,M,GUJARAT,GUJ,17110,IV
Lathi,M,GUJARAT,GUJ,20966,III
Limbdi,M,GUJARAT,GUJ,40071,III
Limla,CT,GUJARAT,GUJ,6622,V
Lunawada,M,GUJARAT,GUJ,33369,III
Mahesana,UA,GUJARAT,GUJ,141453,I
ahudha,M,GUJARAT,GUJ,15792,IV
Mahuva,UA,GUJARAT,GUJ,80726,II
Mahuvar,CT,GUJARAT,GUJ,9718,V
Malpur,CT,GUJARAT,GUJ,6512,V
anavadar,M,GUJARAT,GUJ,27563,III
andvi,M,GUJARAT,GUJ,42355,III
Mangrol,UA,GUJARAT,GUJ,56320,II
ansa,M,GUJARAT,GUJ,27922,III
Meghraj,CT,GUJARAT,GUJ,9902,V
ehmedabad,M,GUJARAT,GUJ,30768,III
Mithapur,CT,GUJARAT,GUJ,13559,IV
odasa,M,GUJARAT,GUJ,54135,II
Morvi,UA,GUJARAT,GUJ,178055,I
Mundra,CT,GUJARAT,GUJ,12931,IV
Nadiad,UA,GUJARAT,GUJ,196793,I
Nandej,CT,GUJARAT,GUJ,7642,V
Navsari,UA,GUJARAT,GUJ,232411,I
Ode,M,GUJARAT,GUJ,18459,IV
Okha Port,CT,GUJARAT,GUJ,18855,IV
Paddhari,CT,GUJARAT,GUJ,9234,V
Padra,UA,GUJARAT,GUJ,39205,III
Palanpur,UA,GUJARAT,GUJ,122300,I
Palej,CT,GUJARAT,GUJ,10878,IV
Palitana,M,GUJARAT,GUJ,51944,II
Pardi,M,GUJARAT,GUJ,25275,III
Parnera,CT,GUJARAT,GUJ,10714,IV
Patan,UA,GUJARAT,GUJ,113749,I
Petlad,M,GUJARAT,GUJ,51147,II
Porbandar,UA,GUJARAT,GUJ,197382,I
Prantij,M,GUJARAT,GUJ,22282,III
Radhanpur,M,GUJARAT,GUJ,32191,III
Rajkot,UA,GUJARAT,GUJ,1003015,I
Rajpipla,M,GUJARAT,GUJ,34923,III
Rajula,M,GUJARAT,GUJ,32395,III
Ranavav,UA,GUJARAT,GUJ,29645,III
Rapar,M,GUJARAT,GUJ,23057,III
Salaya,M,GUJARAT,GUJ,26875,III
Sanand,M,GUJARAT,GUJ,32417,III
Santrampur,M,GUJARAT,GUJ,15777,IV
Sarigam,INA,GUJARAT,GUJ,472,VI
Savarkundla,M,GUJARAT,GUJ,73774,II
Sayan,CT,GUJARAT,GUJ,12847,IV
Sidhpur,UA,GUJARAT,GUJ,58194,II
Sihor,M,GUJARAT,GUJ,46960,III
Sikka,CT,GUJARAT,GUJ,17704,IV
Songadh,M,GUJARAT,GUJ,22431,III
Surajkaradi,CT,GUJARAT,GUJ,16796,IV
Surat,UA,GUJARAT,GUJ,2811614,I
Talaja,M,GUJARAT,GUJ,26104,III
Talod,M,GUJARAT,GUJ,17473,IV
Thangadh,M,GUJARAT,GUJ,36880,III
Tharad,M,GUJARAT,GUJ,22815,III
Ukai,CT,GUJARAT,GUJ,10858,IV
Umbergaon,CT,GUJARAT,GUJ,21684,III
Umbergaon,INA,GUJARAT,GUJ,3269,VI
Umreth,M,GUJARAT,GUJ,32191,III
Una,M,GUJARAT,GUJ,51261,II
Unjha,M,GUJARAT,GUJ,53876,II
Upleta,M,GUJARAT,GUJ,55438,II
Vadia,CT,GUJARAT,GUJ,4480,VI
Vadnagar,M,GUJARAT,GUJ,25033,III
Vadodara,UA,GUJARAT,GUJ,1491045,I
Vaghodia,INA,GUJARAT,GUJ,961,VI
Valsad,INA,GUJARAT,GUJ,890,VI
Valsad,UA,GUJARAT,GUJ,145592,I
Vanthali,M,GUJARAT,GUJ,15858,IV
Vapi,M,GUJARAT,GUJ,71406,II
Vapi,INA,GUJARAT,GUJ,23844,III
Vartej,CT,GUJARAT,GUJ,9705,V
Vasna Borsad,INA,GUJARAT,GUJ,338,VI
Veraval,UA,GUJARAT,GUJ,158032,I
Vijapur,UA,GUJARAT,GUJ,30961,III
Viramgam,M,GUJARAT,GUJ,53094,II
Visavadar,M,GUJARAT,GUJ,18061,IV
Visnagar,UA,GUJARAT,GUJ,73488,II
Vyara,M,GUJARAT,GUJ,36226,III
Wadhwan,UA,GUJARAT,GUJ,219585,I
Wankaner,M,GUJARAT,GUJ,40191,III
Adoor,M,KERALA,KER,28952,III
Akathiyoor,CT,KERALA,KER,5274,V
Alappuzha,UA,KERALA,KER,282675,I
Ancharakandy,CT,KERALA,KER,21878,III
Arookutty,CT,KERALA,KER,17393,IV
Aroor,CT,KERALA,KER,35283,III
Attingal,M,KERALA,KER,35693,III
Avinissery,CT,KERALA,KER,11462,IV
Bangramanjeshwar,CT,KERALA,KER,5636,V
Chala,CT,KERALA,KER,15530,IV
Chalakudy,M,KERALA,KER,48380,III
Changanassery,M,KERALA,KER,51967,II
Chelora,CT,KERALA,KER,19566,IV
Chendamangalam,CT,KERALA,KER,28147,III
Chengannur,M,KERALA,KER,25397,III
Cherthala,UA,KERALA,KER,141558,I
Cheruthazham,CT,KERALA,KER,26239,III
Chevvoor,CT,KERALA,KER,17373,IV
Chittur-Thathamangalam,UA,KERALA,KER,67935,II
Chockli,CT,KERALA,KER,31772,III
Erattupetta,CT,KERALA,KER,29682,III
Guruvayoor,UA,KERALA,KER,138681,I
Hosabettu,CT,KERALA,KER,5915,V
Idukki Township,TS,KERALA,KER,11347,IV
Irinjalakuda,M,KERALA,KER,28873,III
Iriveri,CT,KERALA,KER,15669,IV
Kadirur,CT,KERALA,KER,28989,III
Kalliasseri,CT,KERALA,KER,28068,III
Kalpetta,M,KERALA,KER,29612,III
Kanhangad,UA,KERALA,KER,129367,I
Kanhirode,CT,KERALA,KER,13955,IV
Kanjikkuzhi,CT,KERALA,KER,22127,III
Kannadiparamba,CT,KERALA,KER,12658,IV
Kannapuram,CT,KERALA,KER,18527,IV
Kannur,UA,KERALA,KER,498207,I
Kasaragod,UA,KERALA,KER,75968,II
Kayamkulam,M,KERALA,KER,68585,II
Kochi,UA,KERALA,KER,1355972,I
Kodungallur,UA,KERALA,KER,94883,II
Kolazhy,CT,KERALA,KER,8447,V
Kollam,UA,KERALA,KER,380091,I
Koothuparamba,M,KERALA,KER,29532,III
Koratty,CT,KERALA,KER,17455,IV
Kothamangalam,M,KERALA,KER,37173,III
Kottayam,UA,KERALA,KER,172878,I
Kottayam-Malabar,CT,KERALA,KER,17501,IV
Kozhikode,UA,KERALA,KER,880247,I
Kunnamkulam,M,KERALA,KER,51592,II
Malappuram,UA,KERALA,KER,170409,I
Manjeshwar,CT,KERALA,KER,8675,V
Marathakkara,CT,KERALA,KER,17938,IV
attannur,M,KERALA,KER,44313,III
avelikkara,M,KERALA,KER,28439,III
Mavilayi,CT,KERALA,KER,11954,IV
Mavoor,CT,KERALA,KER,27845,III
Munderi,CT,KERALA,KER,19478,IV
uvattupuzha,M,KERALA,KER,29246,III
Narath,CT,KERALA,KER,12554,IV
Nedumangad,M,KERALA,KER,56138,II
Nenmenikkara,CT,KERALA,KER,17407,IV
Neyyattinkara,M,KERALA,KER,69467,II
Ottappalam,M,KERALA,KER,49242,III
Paduvilayi,CT,KERALA,KER,19190,IV
Palai,M,KERALA,KER,22640,III
Palakkad,UA,KERALA,KER,197369,I
Palissery,CT,KERALA,KER,7939,V
Panniyannur,CT,KERALA,KER,20863,III
Panoor,CT,KERALA,KER,16288,IV
Pappinisseri,CT,KERALA,KER,33273,III
Paravoor,M,KERALA,KER,38652,III
Pathanamthitta,M,KERALA,KER,38009,III
Pathiriyad,CT,KERALA,KER,16611,IV
Pattiom,CT,KERALA,KER,19955,IV
Payyannur,M,KERALA,KER,68734,II
Peralasseri,CT,KERALA,KER,15816,IV
Peringathur,CT,KERALA,KER,37699,III
Perinthalmanna,M,KERALA,KER,44612,III
Perumbavoor,M,KERALA,KER,26547,III
Pinarayi,CT,KERALA,KER,15831,IV
Ponnani,M,KERALA,KER,87495,II
Pottore,CT,KERALA,KER,8161,V
Punalur,M,KERALA,KER,47235,III
Puranattukara,CT,KERALA,KER,9600,V
Puthukkad,CT,KERALA,KER,12501,IV
Quilandy,M,KERALA,KER,68982,II
Shoranur,M,KERALA,KER,42029,III
Taliparamba,M,KERALA,KER,67507,II
Thiruvalla,M,KERALA,KER,56837,II
Thiruvananthapuram,UA,KERALA,KER,889635,I
Thodupuzha,M,KERALA,KER,46246,III
Thrissur,UA,KERALA,KER,330122,I
Tirur,M,KERALA,KER,53654,II
Udma,CT,KERALA,KER,8139,V
Vadakara,UA,KERALA,KER,124083,I
Vaikom,M,KERALA,KER,22641,III
Vallachira,CT,KERALA,KER,13345,IV
Varam,CT,KERALA,KER,14741,IV
Varkala,M,KERALA,KER,40728,III
Amini,CT,LAKSHADWEEP,LAK,7353,V
Kavaratti,CT,LAKSHADWEEP,LAK,10119,IV
Minicoy,CT,LAKSHADWEEP,LAK,9495,V
Adilabad,UA,ANDHRA_PRADESH,AP,129403,I
Adoni,UA,ANDHRA_PRADESH,AP,162458,I
Amadalavalasa,NP,ANDHRA_PRADESH,AP,37931,III
Amalapuram,M,ANDHRA_PRADESH,AP,51444,II
Anakapalle,M,ANDHRA_PRADESH,AP,85486,II
Anantapur,UA,ANDHRA_PRADESH,AP,243143,I
Asifabad,CT,ANDHRA_PRADESH,AP,19330,IV
Badepalle,CT,ANDHRA_PRADESH,AP,29829,III
Bandarulanka,CT,ANDHRA_PRADESH,AP,11693,IV
Bapatla,M,ANDHRA_PRADESH,AP,68397,II
Bellampalle,M,ANDHRA_PRADESH,AP,66792,II
Bestawaripeta,CT,ANDHRA_PRADESH,AP,6526,V
Bethamcherla,CT,ANDHRA_PRADESH,AP,30973,III
Bhadrachalam,CT,ANDHRA_PRADESH,AP,42650,III
Bhainsa,NP,ANDHRA_PRADESH,AP,41331,III
Bheemunipatnam,UA,ANDHRA_PRADESH,AP,48664,III
Bhimavaram,UA,ANDHRA_PRADESH,AP,142064,I
Bhongir,M,ANDHRA_PRADESH,AP,50407,II
Bobbili,M,ANDHRA_PRADESH,AP,50096,II
Bodhan,M,ANDHRA_PRADESH,AP,71520,II
Bollaram,CT,ANDHRA_PRADESH,AP,13115,IV
Bugganipalle,CT,ANDHRA_PRADESH,AP,11679,IV
Chandur,CT,ANDHRA_PRADESH,AP,10859,IV
Chatakonda,CT,ANDHRA_PRADESH,AP,2701,VI
Chilakaluripet,M,ANDHRA_PRADESH,AP,91656,II
Chintalavalasa,CT,ANDHRA_PRADESH,AP,6407,V
Chirala,UA,ANDHRA_PRADESH,AP,166294,I  
Chittoor,M,ANDHRA_PRADESH,AP,152654,I
Choutuppal,CT,ANDHRA_PRADESH,AP,14001,IV
Cuddapah,UA,ANDHRA_PRADESH,AP,262506,I
Devarakonda,CT,ANDHRA_PRADESH,AP,27434,III
Dharmavaram,M,ANDHRA_PRADESH,AP,103357,I
Dommara Nandyala,CT,ANDHRA_PRADESH,AP,7771,V
Eddumailaram,CT,ANDHRA_PRADESH,AP,13592,IV
Ekambarakuppam,CT,ANDHRA_PRADESH,AP,6797,V
Eluru,UA,ANDHRA_PRADESH,AP,215804,I
Farooqnagar,CT,ANDHRA_PRADESH,AP,34470,III
Gadwal,UA,ANDHRA_PRADESH,AP,53560,II
Gajapathinagaram,CT,ANDHRA_PRADESH,AP,5282,V
Ghatkesar,CT,ANDHRA_PRADESH,AP,18278,IV
Gooty,CT,ANDHRA_PRADESH,AP,43389,III
Gudivada,CT,ANDHRA_PRADESH,AP,7102,V
Gudivada,M,ANDHRA_PRADESH,AP,113054,I
Gudur,UA,ANDHRA_PRADESH,AP,68782,II
Guntakal,M,ANDHRA_PRADESH,AP,117103,I
Guntur,M Corp.,ANDHRA_PRADESH,AP,514461,I
Hindupur,M,ANDHRA_PRADESH,AP,125074,I
Hyderabad UA,"Distts 04,05 & 06",ANDHRA_PRADESH,AP,5742036,I
Ichchapuram,NP,ANDHRA_PRADESH,AP,32662,III
Isnapur,CT,ANDHRA_PRADESH,AP,7576,V
Jaggaiahpet,NP,ANDHRA_PRADESH,AP,40373,III
Jagtial,M,ANDHRA_PRADESH,AP,85521,II
Jallaram,CT,ANDHRA_PRADESH,AP,11010,IV
Jammalamadugu,CT,ANDHRA_PRADESH,AP,40514,III
Jangaon,NP,ANDHRA_PRADESH,AP,43996,III
Jarjapupeta,CT,ANDHRA_PRADESH,AP,5546,V
Kadiri,M,ANDHRA_PRADESH,AP,76252,II
Kagaznagar,M,ANDHRA_PRADESH,AP,59734,II
Kakinada,UA,ANDHRA_PRADESH,AP,376861,I
Kalyandurg,CT,ANDHRA_PRADESH,AP,29266,III
Kamareddy,M,ANDHRA_PRADESH,AP,64496,II
Kandukur,M,ANDHRA_PRADESH,AP,50326,II
Kantabamsuguda,CT,ANDHRA_PRADESH,AP,6340,V
Karimnagar,UA,ANDHRA_PRADESH,AP,218302,I
Kavali,UA,ANDHRA_PRADESH,AP,85616,II
Khammam,UA,ANDHRA_PRADESH,AP,198620,I
Koratla,M,ANDHRA_PRADESH,AP,54012,II
Kothagudem,UA,ANDHRA_PRADESH,AP,105266,I
Kothavalasa,CT,ANDHRA_PRADESH,AP,12302,IV
Kovurpalle,CT,ANDHRA_PRADESH,AP,8529,V
Kovvur,NP,ANDHRA_PRADESH,AP,39372,III
Kuppam,CT,ANDHRA_PRADESH,AP,18858,IV
Kurnool,UA,ANDHRA_PRADESH,AP,342973,I
Kyathampalle,CT,ANDHRA_PRADESH,AP,42273,III
acherla,M,ANDHRA_PRADESH,AP,49221,III
achilipatnam,M,ANDHRA_PRADESH,AP,179353,I
Madanapalle,UA,ANDHRA_PRADESH,AP,107449,I
Madaram,CT,ANDHRA_PRADESH,AP,6691,V
Mahbubnagar,UA,ANDHRA_PRADESH,AP,139662,I
Mancherial,UA,ANDHRA_PRADESH,AP,118195,I
andamarri,M,ANDHRA_PRADESH,AP,66596,II
andapeta,M,ANDHRA_PRADESH,AP,47638,III
Manuguru,CT,ANDHRA_PRADESH,AP,32893,III
arkapur,M,ANDHRA_PRADESH,AP,58462,II
Medak,NP,ANDHRA_PRADESH,AP,41945,III
Miryalaguda,UA,ANDHRA_PRADESH,AP,91359,II
Moragudi,CT,ANDHRA_PRADESH,AP,5995,V
Nagari,CT,ANDHRA_PRADESH,AP,24372,III
Nagarkurnool,CT,ANDHRA_PRADESH,AP,26157,III
Nalgonda,UA,ANDHRA_PRADESH,AP,111380,I
Nandyal,UA,ANDHRA_PRADESH,AP,157120,I
Narasapur,M,ANDHRA_PRADESH,AP,58604,II
Narasaraopet,UA,ANDHRA_PRADESH,AP,95349,II
Narayanavanam,CT,ANDHRA_PRADESH,AP,10899,IV
Narayanpet,NP,ANDHRA_PRADESH,AP,37563,III
Narsingi,CT,ANDHRA_PRADESH,AP,7117,V
Narsipatnam,CT,ANDHRA_PRADESH,AP,32623,III
Nellimarla,CT,ANDHRA_PRADESH,AP,19373,IV
Nellore,UA,ANDHRA_PRADESH,AP,404775,I
Nidadavole,M,ANDHRA_PRADESH,AP,43143,III
Nirmal,M,ANDHRA_PRADESH,AP,75254,II
Nizamabad,M,ANDHRA_PRADESH,AP,288722,I
Nuzvid,M,ANDHRA_PRADESH,AP,50354,II
Omerkhan Daira,CT,ANDHRA_PRADESH,AP,7259,V
Ongole,UA,ANDHRA_PRADESH,AP,153829,I
Palacole,UA,ANDHRA_PRADESH,AP,76308,II
Palakurthy,CT,ANDHRA_PRADESH,AP,6967,V
Palasa Kasibugga,NP,ANDHRA_PRADESH,AP,49899,III
Palwancha,M,ANDHRA_PRADESH,AP,69088,II
Pamur,CT,ANDHRA_PRADESH,AP,15245,IV
Papampeta,CT,ANDHRA_PRADESH,AP,9155,V
Parvathipuram,M,ANDHRA_PRADESH,AP,49714,III
Pedana,NP,ANDHRA_PRADESH,AP,29613,III
Peddapuram,M,ANDHRA_PRADESH,AP,45520,III
Pithapuram,M,ANDHRA_PRADESH,AP,50103,II
Ponnur,M,ANDHRA_PRADESH,AP,57640,II
Proddatur,M,ANDHRA_PRADESH,AP,150309,I
Punganur,NP,ANDHRA_PRADESH,AP,44314,III
Puttur,CT,ANDHRA_PRADESH,AP,29436,III
Rajahmundry,UA,ANDHRA_PRADESH,AP,413616,I
Rajam,CT,ANDHRA_PRADESH,AP,23424,III
Ramachandrapuram,M,ANDHRA_PRADESH,AP,41370,III
Ramagundam,UA,ANDHRA_PRADESH,AP,237686,I
Ramapuram,CT,ANDHRA_PRADESH,AP,5716,V
Rameswaram,CT,ANDHRA_PRADESH,AP,14907,IV
Rampachodavaram,CT,ANDHRA_PRADESH,AP,9670,V
Rayachoti,CT,ANDHRA_PRADESH,AP,72297,II
Rayadurg,M,ANDHRA_PRADESH,AP,54125,II
Renigunta,CT,ANDHRA_PRADESH,AP,23862,III
Repalle,M,ANDHRA_PRADESH,AP,42539,III
Sadasivpet,M,ANDHRA_PRADESH,AP,36334,III
Salur,M,ANDHRA_PRADESH,AP,48354,III
Samalkot,M,ANDHRA_PRADESH,AP,53602,II
Sangareddy,M,ANDHRA_PRADESH,AP,57113,II
Sarapaka,CT,ANDHRA_PRADESH,AP,17222,IV
Sattenapalle,M,ANDHRA_PRADESH,AP,51404,II
Siddipet,M,ANDHRA_PRADESH,AP,61809,II
Singapur,CT,ANDHRA_PRADESH,AP,23468,III
Singarayakonda RS,CT,ANDHRA_PRADESH,AP,16686,IV
Sircilla,M,ANDHRA_PRADESH,AP,65314,II
Sompeta,CT,ANDHRA_PRADESH,AP,17423,IV
Srikakulam,UA,ANDHRA_PRADESH,AP,117320,I
Srikalahasti,M,ANDHRA_PRADESH,AP,70854,II
Sriramnagar,CT,ANDHRA_PRADESH,AP,19520,IV
Srisailam Project Right Flank Colony Township,CT,ANDHRA_PRADESH,AP,23273,III
Srisailamgudem Devasthanam,CT,ANDHRA_PRADESH,AP,6861,V
Suryapet,UA,ANDHRA_PRADESH,AP,94585,II
Tadepalligudem,M,ANDHRA_PRADESH,AP,102622,I
Tadpatri,M,ANDHRA_PRADESH,AP,86843,II
Tandur,M,ANDHRA_PRADESH,AP,57941,II
Tanuku,UA,ANDHRA_PRADESH,AP,72970,II
Tenali,M,ANDHRA_PRADESH,AP,153756,I
Thallapalle,CT,ANDHRA_PRADESH,AP,10950,IV
Tirumala,CT,ANDHRA_PRADESH,AP,18014,IV
Tirupati,UA,ANDHRA_PRADESH,AP,303521,I
Tuni,M,ANDHRA_PRADESH,AP,50368,II
Upper Sileru Project Site Camp,CT,ANDHRA_PRADESH,AP,4746,VI
Uravakonda,CT,ANDHRA_PRADESH,AP,31856,III
Venkatagiri,CT,ANDHRA_PRADESH,AP,31341,III
Veparala,CT,ANDHRA_PRADESH,AP,6616,V
Vicarabad,NP,ANDHRA_PRADESH,AP,42410,III
Vijayapuri North,CT,ANDHRA_PRADESH,AP,19362,IV
Vijayawada UA,Distts 16 & 17,ANDHRA_PRADESH,AP,1039518,I
Vinukonda,CT,ANDHRA_PRADESH,AP,52519,II
Visakhapatnam,UA,ANDHRA_PRADESH,AP,1345938,I
Vizianagaram,UA,ANDHRA_PRADESH,AP,195801,I
Wanaparthy,NP,ANDHRA_PRADESH,AP,50114,II
Warangal,UA,ANDHRA_PRADESH,AP,579216,I
Yadagirigutta,CT,ANDHRA_PRADESH,AP,13291,IV
Yellandu,NP,ANDHRA_PRADESH,AP,42421,III
Yemmiganur,M,ANDHRA_PRADESH,AP,76411,II
Yerraguntla,CT,ANDHRA_PRADESH,AP,26838,III
Zahirabad,NP,ANDHRA_PRADESH,AP,44589,III
Amarpur,NA,BIHAR,BIH,20965,III
Araria,M,BIHAR,BIH,60861,II
Areraj,NA,BIHAR,BIH,20356,III
Arrah,M,BIHAR,BIH,203380,I
Asarganj,CT,BIHAR,BIH,5739,V
Aurangabad,M,BIHAR,BIH,79393,II
Bagaha,M,BIHAR,BIH,91467,II
Bahadurganj, NA,BIHAR,BIH,28118,III
Bairgania,NA,BIHAR,BIH,34836,III
Bakhtiarpur,NA,BIHAR,BIH,32293,III
Banka,M,BIHAR,BIH,35455,III
Banmankhi Bazar,NA,BIHAR,BIH,25187,III
Barahiya,M,BIHAR,BIH,39865,III
Barauli,NA,BIHAR,BIH,34653,III
Barbigha,NA,BIHAR,BIH,38200,III
Barh,M,BIHAR,BIH,48442,III
Begusarai,UA,BIHAR,BIH,107623,I
Behea,NA,BIHAR,BIH,20741,III
Belsand,NA,BIHAR,BIH,17840,IV
Bettiah,M,BIHAR,BIH,116670,I
Bhabua,M,BIHAR,BIH,41775,III
Bhagalpur,UA,BIHAR,BIH,350133,I
Bihar,M,BIHAR,BIH,232071,I
Bikramganj,NA,BIHAR,BIH,38408,III
Birpur,NA,BIHAR,BIH,17982,IV
Bodh Gaya,NA,BIHAR,BIH,30857,III
Buxar,M,BIHAR,BIH,83168,II
Chakia,NA,BIHAR,BIH,16628,IV
Chanpatia,NA ,BIHAR,BIH,22038,III
Chapra,M,BIHAR,BIH,179190,I
Colgong,M,BIHAR,BIH,22049,III
Dalsinghsarai,NA,BIHAR,BIH,20196,III
Darbhanga,M Corp.,BIHAR,BIH,267348,I
Daudnagar,M,BIHAR,BIH,38014,III
Dehri,M,BIHAR,BIH,119057,I
Dhaka,NA,BIHAR,BIH,32632,III
Dighwara,NA,BIHAR,BIH,27367,III
Dumraon,M,BIHAR,BIH,45806,III
Fatwah,NA,BIHAR,BIH,38672,III
Forbesganj,M,BIHAR,BIH,41499,III
Gaya,UA,BIHAR,BIH,394945,I
Ghoghardiha,NA,BIHAR,BIH,14526,IV
Gogri Jamalpur,NA,BIHAR,BIH,31106,III
Gopalganj,M,BIHAR,BIH,54449,II
Hajipur,M,BIHAR,BIH,119412,I
Hilsa,NA,BIHAR,BIH,37775,III
Hisua,NA,BIHAR,BIH,25205,III
Islampur,NA,BIHAR,BIH,29868,III
Jagdishpur,M,BIHAR,BIH,28085,III
Jainagar,NA,BIHAR,BIH,19567,IV
Jamalpur,M,BIHAR,BIH,96983,II
Jamhaur,NA,BIHAR,BIH,8608,V
Jamui,M,BIHAR,BIH,66797,II
Janakpur Road,NA,BIHAR,BIH,13358,IV
Jehanabad,M,BIHAR,BIH,81503,II
Jhajha,NA,BIHAR,BIH,36447,III
Jhanjharpur,NA,BIHAR,BIH,24112,III
Jogabani,NA,BIHAR,BIH,29991,III
Kanti,NA,BIHAR,BIH,20871,III
Kataiya,NA,BIHAR,BIH,17912,IV
Katihar,UA,BIHAR,BIH,190873,I
Khagaria,M,BIHAR,BIH,45221,III
Kharagpur,NA,BIHAR,BIH,27075,III
Khusrupur,NA,BIHAR,BIH,12204,IV
Kishanganj,M,BIHAR,BIH,85590,II
Koath,NA,BIHAR,BIH,15815,IV
Koilwar,NA,BIHAR,BIH,19928,IV
Lakhisarai,M,BIHAR,BIH,77875,II
Lalganj,M,BIHAR,BIH,29873,III
adhepura,M,BIHAR,BIH,45031,III
adhubani,M,BIHAR,BIH,66340,II
Maharajganj,NA,BIHAR,BIH,20860,III
ahnar Bazar,M,BIHAR,BIH,37370,III
Mairwa,NA,BIHAR,BIH,18710,IV
Makhdumpur,NA,BIHAR,BIH,30109,III
Maner,NA,BIHAR,BIH,30082,III
Manihari,NA,BIHAR,BIH,21803,III
Marhaura,NA,BIHAR,BIH,24548,III
Masaurhi,NA,BIHAR,BIH,45248,III
Mirganj,NA,BIHAR,BIH,23576,III
Mohiuddinagar,NA,BIHAR,BIH,13769,IV
okameh,M,BIHAR,BIH,56615,II
Motihari,UA,BIHAR,BIH,108428,I
Motipur,NA,BIHAR,BIH,21957,III
unger,M,BIHAR,BIH,188050,I
Murliganj,NA,BIHAR,BIH,22936,III
Muzaffarpur,M Corp.,BIHAR,BIH,305525,I
Nabinagar,NA,BIHAR,BIH,19050,IV
Narkatiaganj,NA,BIHAR,BIH,40830,III
Naugachhia,NA,BIHAR,BIH,38287,III
Nawada,M,BIHAR,BIH,81891,II
Nirmali,NA,BIHAR,BIH,16141,IV
Nokha,NA,BIHAR,BIH,22354,III
Patna,UA,BIHAR,BIH,1697976,I
Piro,NA,BIHAR,BIH,25811,III
Purnia,UA,BIHAR,BIH,197211,I
Rafiganj,NA,BIHAR,BIH,24992,III
Raghunathpur,CT,BIHAR,BIH,5601,V
Rajgir,NA,BIHAR,BIH,33738,III
Ramnagar,NA,BIHAR,BIH,38554,III
Raxaul Bazar,M,BIHAR,BIH,41610,III
Revelganj,M,BIHAR,BIH,34042,III
Rosera,M,BIHAR,BIH,27492,III
Saharsa,M,BIHAR,BIH,125167,I
Samastipur,UA,BIHAR,BIH,61998,II
Sasaram,M,BIHAR,BIH,131172,I
Shahpur,NA,BIHAR,BIH,14469,IV
Sheikhpura,M,BIHAR,BIH,43113,III
Sheohar,NA,BIHAR,BIH,21262,III
Sherghati,NA,BIHAR,BIH,32526,III
Silao,NA,BIHAR,BIH,20177,III
Sitamarhi,UA,BIHAR,BIH,87279,II
Siwan,M,BIHAR,BIH,109919,I
Sonepur,NA,BIHAR,BIH,33490,III
Sugauli,NA,BIHAR,BIH,31432,III
Sultanganj,NA,BIHAR,BIH,41958,III
Supaul,M,BIHAR,BIH,54085,II
Thakurganj,NA,BIHAR,BIH,15300,IV
Tikari,M,BIHAR,BIH,17621,IV
Warisaliganj,NA,BIHAR,BIH,31347,III
Adra,CT,WEST_BENGAL,WB,22031,III
Ahmadpur,CT,WEST_BENGAL,WB,8411,V
Aiho,CT,WEST_BENGAL,WB,5409,V
Alipurduar,UA,WEST_BENGAL,WB,114035,I
Amtala,CT,WEST_BENGAL,WB,7603,V
Anup Nagar,CT,WEST_BENGAL,WB,9964,V
Arambag,M,WEST_BENGAL,WB,56140,II
Arra,CT,WEST_BENGAL,WB,19924,IV
Asansol,UA,WEST_BENGAL,WB,1067369,I
Aurangabad,CT,WEST_BENGAL,WB,32148,III
Bablari Dewanganj,CT,WEST_BENGAL,WB,6558,V
Badhagachhi,CT,WEST_BENGAL,WB,4719,VI
Baduria,M,WEST_BENGAL,WB,47417,III
Bagnan,CT,WEST_BENGAL,WB,8770,V
Baharampur,UA,WEST_BENGAL,WB,170322,I
Bahirgram,CT,WEST_BENGAL,WB,8288,V
Bahula,CT,WEST_BENGAL,WB,16264,IV
Bairatisal,CT,WEST_BENGAL,WB,5405,V
Balarampur,CT,WEST_BENGAL,WB,21827,III
Balichak,CT,WEST_BENGAL,WB,12207,IV
Balurghat,UA,WEST_BENGAL,WB,143321,I
Banarhat Tea Garden,CT,WEST_BENGAL,WB,14473,IV
Bangaon,M,WEST_BENGAL,WB,102163,I
Bankura,M,WEST_BENGAL,WB,128781,I
Banshra,CT,WEST_BENGAL,WB,5134,V
Bara Bamonia,CT,WEST_BENGAL,WB,6174,V
Barabazar,CT,WEST_BENGAL,WB,7564,V
Barddhaman,M,WEST_BENGAL,WB,285602,I
Barijhati,CT,WEST_BENGAL,WB,6395,V
Barjora,CT,WEST_BENGAL,WB,11512,IV
Baruipur,M,WEST_BENGAL,WB,44913,III
Basirhat,M,WEST_BENGAL,WB,113159,I
Baska,CT,WEST_BENGAL,WB,4974,VI
Begampur,CT,WEST_BENGAL,WB,9545,V
Beldanga,M,WEST_BENGAL,WB,25361,III
Beldubi,CT,WEST_BENGAL,WB,8984,V
Belebathan,CT,WEST_BENGAL,WB,4294,VI
Beliatore,CT,WEST_BENGAL,WB,5654,V
Bhandardaha,CT,WEST_BENGAL,WB,4812,VI
Bhangar Raghunathpur,CT,WEST_BENGAL,WB,5011,V
